"Clave_Ent","Entidad","Bien jurídico afectado","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1,"Aguascalientes","El patrimonio",14304,14145,20816,22596,20185,16936,18034,19671,20534,20424,7984
1,"Aguascalientes","La vida y la Integridad corporal",3714,3011,4533,5320,5299,4632,4788,4975,5072,5151,2052
2,"Baja California","El patrimonio",64338,61376,62701,52195,50014,39617,44401,47421,51367,44491,13205
2,"Baja California","La vida y la Integridad corporal",16798,14611,14567,14095,13324,12252,12566,12516,13135,12071,4248
3,"Baja California Sur","El patrimonio",12279,15189,14617,13966,12245,8720,8389,9558,10282,10490,4326
3,"Baja California Sur","La vida y la Integridad corporal",1772,2289,2763,2282,2271,2061,2218,2277,2586,2956,1144
4,"Campeche","El patrimonio",1175,1368,1088,1193,1271,1114,2762,11447,11335,4902,801
4,"Campeche","La vida y la Integridad corporal",324,365,337,361,338,277,1014,5004,5057,2886,555
5,"Coahuila de Zaragoza","El patrimonio",24498,22140,21056,19437,16906,15297,18133,19844,18448,18356,8592
5,"Coahuila de Zaragoza","La vida y la Integridad corporal",6398,6165,6121,6353,5511,4600,4920,5242,5592,6060,2573
6,"Colima","El patrimonio",3285,8653,13342,12779,12893,11446,13884,12958,12369,10012,3940
6,"Colima","La vida y la Integridad corporal",521,1046,2595,2466,2591,2449,2496,2799,2909,2824,1149
7,"Chiapas","El patrimonio",10147,11520,12292,12939,9463,5271,4536,4388,4727,4413,1615
7,"Chiapas","La vida y la Integridad corporal",3064,3352,3508,3759,2930,2428,2680,2815,3397,3147,1128
8,"Chihuahua","El patrimonio",26761,23754,28508,27930,29520,25483,29888,33434,32480,33555,13063
8,"Chihuahua","La vida y la Integridad corporal",6518,6139,6963,7197,8600,8255,9054,7996,8480,9218,4064
9,"Ciudad de México","El patrimonio",105236,110396,133037,160053,149600,113783,123741,123803,122571,111902,42922
9,"Ciudad de México","La vida y la Integridad corporal",13034,12423,13210,14499,13489,10164,11666,13322,13046,13634,5517
10,"Durango","El patrimonio",15825,16297,18092,16475,15588,12871,13662,11816,8734,7118,2750
10,"Durango","La vida y la Integridad corporal",4450,5211,5367,4400,3794,3137,4253,4156,3554,3117,1309
11,"Guanajuato","El patrimonio",44375,48280,52773,60470,61239,48762,48764,51692,52977,54431,24017
11,"Guanajuato","La vida y la Integridad corporal",13093,13376,15213,18043,19140,16333,16978,18071,19474,21288,9190
12,"Guerrero","El patrimonio",16242,15045,13719,12049,11189,9200,9848,10293,9736,9959,3882
12,"Guerrero","La vida y la Integridad corporal",6254,6544,6270,5860,5139,3866,4383,5091,5266,5196,2287
13,"Hidalgo","El patrimonio",13770,16952,21797,23021,22078,16501,16000,18454,19340,17147,7351
13,"Hidalgo","La vida y la Integridad corporal",4460,5311,7076,8152,7235,6474,6174,6974,6846,5958,2634
14,"Jalisco","El patrimonio",44665,78118,110282,106788,97745,72188,71346,65606,59199,55975,20620
14,"Jalisco","La vida y la Integridad corporal",13106,15435,15872,15203,14656,12746,13420,13892,15360,15625,6765
15,"México","El patrimonio",193771,171799,186454,194137,188410,171219,179787,180473,173343,169860,63821
15,"México","La vida y la Integridad corporal",67262,59052,61817,56976,64239,57662,62794,67486,67754,66140,26399
16,"Michoacán de Ocampo","El patrimonio",18277,19086,22937,23985,23506,20877,20819,19367,20463,20388,7927
16,"Michoacán de Ocampo","La vida y la Integridad corporal",6426,7234,8861,9550,10267,10746,11333,11304,11037,11153,4683
17,"Morelos","El patrimonio",27462,25843,24249,23830,22332,20846,21919,22755,23610,22789,9023
17,"Morelos","La vida y la Integridad corporal",5989,6109,5806,6120,5728,5011,5522,5800,6213,6208,2578
18,"Nayarit","El patrimonio",2598,1408,893,1429,1140,1098,1263,2297,3325,3214,1144
18,"Nayarit","La vida y la Integridad corporal",854,390,459,654,546,554,659,1018,1499,1660,646
19,"Nuevo León","El patrimonio",27323,36739,32423,30985,27077,27461,30191,33870,27889,24569,7273
19,"Nuevo León","La vida y la Integridad corporal",9327,9759,10049,8972,7573,7000,8718,9937,10420,10232,2795
20,"Oaxaca","El patrimonio",2792,15905,15570,19331,19355,16397,17437,18266,16164,13046,4163
20,"Oaxaca","La vida y la Integridad corporal",1190,6297,6405,7807,8111,6769,6712,7226,7293,7130,2483
21,"Puebla","El patrimonio",34697,28439,34683,37622,45376,33801,41405,42817,43356,43273,18821
21,"Puebla","La vida y la Integridad corporal",10368,6760,4391,4889,8224,7044,8196,8515,7925,8427,3629
22,"Querétaro","El patrimonio",22082,28787,35542,36859,34794,28621,28826,30407,31753,29810,11459
22,"Querétaro","La vida y la Integridad corporal",4464,5414,6775,7365,8137,7170,7702,7109,7717,7586,3266
23,"Quintana Roo","El patrimonio",18796,11315,16907,20571,27177,22263,24444,24702,25514,24050,9722
23,"Quintana Roo","La vida y la Integridad corporal",4225,2161,2638,4000,4813,4657,5835,6520,7153,6712,2699
24,"San Luis Potosí","El patrimonio",10478,13491,17968,20662,26786,21962,25437,28069,26829,24485,9197
24,"San Luis Potosí","La vida y la Integridad corporal",3164,4771,5182,4676,6403,5526,5663,5581,5902,5894,2435
25,"Sinaloa","El patrimonio",13914,11822,12258,10939,9809,9717,11397,12231,13623,13851,7320
25,"Sinaloa","La vida y la Integridad corporal",5115,4110,4484,4701,4838,4821,5352,5911,6200,6463,2904
26,"Sonora","El patrimonio",13390,20445,13639,9687,10062,12988,13177,11557,11963,10247,4125
