"Año","Clave_Ent","Entidad","Subtipo de delito","Sexo","Rango de edad","Total"
2015,1,"Aguascalientes","Homicidio doloso","Hombre","Adultos (18 y más)",34
2015,1,"Aguascalientes","Homicidio doloso","Hombre","Menores de edad (0-17)",0
2015,1,"Aguascalientes","Homicidio doloso","Mujer","Adultos (18 y más)",5
2015,1,"Aguascalientes","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2015,2,"Baja California","Homicidio doloso","Hombre","Adultos (18 y más)",610
2015,2,"Baja California","Homicidio doloso","Hombre","Menores de edad (0-17)",20
2015,2,"Baja California","Homicidio doloso","Mujer","Adultos (18 y más)",74
2015,2,"Baja California","Homicidio doloso","Mujer","Menores de edad (0-17)",9
2015,3,"Baja California Sur","Homicidio doloso","Hombre","Adultos (18 y más)",134
2015,3,"Baja California Sur","Homicidio doloso","Hombre","Menores de edad (0-17)",4
2015,3,"Baja California Sur","Homicidio doloso","Mujer","Adultos (18 y más)",19
2015,3,"Baja California Sur","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2015,4,"Campeche","Homicidio doloso","Hombre","Adultos (18 y más)",48
2015,4,"Campeche","Homicidio doloso","Hombre","Menores de edad (0-17)",1
2015,4,"Campeche","Homicidio doloso","Mujer","Adultos (18 y más)",4
2015,4,"Campeche","Homicidio doloso","Mujer","Menores de edad (0-17)",0
2015,5,"Coahuila de Zaragoza","Homicidio doloso","Hombre","Adultos (18 y más)",233
2015,5,"Coahuila de Zaragoza","Homicidio doloso","Hombre","Menores de edad (0-17)",22
2015,5,"Coahuila de Zaragoza","Homicidio doloso","Mujer","Adultos (18 y más)",45
2015,5,"Coahuila de Zaragoza","Homicidio doloso","Mujer","Menores de edad (0-17)",5
2015,6,"Colima","Homicidio doloso","Hombre","Adultos (18 y más)",151
2015,6,"Colima","Homicidio doloso","Hombre","Menores de edad (0-17)",4
2015,6,"Colima","Homicidio doloso","Mujer","Adultos (18 y más)",14
2015,6,"Colima","Homicidio doloso","Mujer","Menores de edad (0-17)",1
2015,7,"Chiapas","Homicidio doloso","Hombre","Adultos (18 y más)",442
2015,7,"Chiapas","Homicidio doloso","Hombre","Menores de edad (0-17)",31
2015,7,"Chiapas","Homicidio doloso","Mujer","Adultos (18 y más)",30
2015,7,"Chiapas","Homicidio doloso","Mujer","Menores de edad (0-17)",2
2015,8,"Chihuahua","Homicidio doloso","Hombre","Adultos (18 y más)",766
2015,8,"Chihuahua","Homicidio doloso","Hombre","Menores de edad (0-17)",51
2015,8,"Chihuahua","Homicidio doloso","Mujer","Adultos (18 y más)",77
2015,8,"Chihuahua","Homicidio doloso","Mujer","Menores de edad (0-17)",11
2015,9,"Ciudad de México","Homicidio doloso","Hombre","Adultos (18 y más)",748
2015,9,"Ciudad de México","Homicidio doloso","Hombre","Menores de edad (0-17)",20
2015,9,"Ciudad de México","Homicidio doloso","Mujer","Adultos (18 y más)",58
2015,9,"Ciudad de México","Homicidio doloso","Mujer","Menores de edad (0-17)",9
