"Entidad","A banco o negocios","A casa habitación","A transeúnte","A transporte","A transportista","A vehículos","De ganado","De maquinaria","Otros"
"Aguascalientes",1964,2044,1736,192,0,2263,108,4,2053
"Baja California",4386,2455,5357,106,35,11223,23,0,5856
"Baja California Sur",517,1015,150,2,1,534,44,8,3335
"Campeche",581,515,155,24,0,361,51,1,1180
"Chiapas",123,131,122,8,1,1422,35,2,536
"Chihuahua",1846,2192,509,34,38,3805,152,161,5512
"Ciudad de México",10077,3236,11305,5346,31,16503,0,3,21402
"Coahuila de Zaragoza",609,1137,226,38,12,462,98,59,2946
"Colima",564,788,86,0,18,916,30,0,2044
"Durango",468,430,88,6,0,622,37,0,1196
"Guanajuato",4504,3138,473,0,11,3575,139,0,19818
"Guerrero",885,256,79,2,0,2654,14,5,1976
"Hidalgo",858,966,619,10,12,3453,72,8,5351
"Jalisco",3935,2247,6335,296,170,12629,61,131,12655
"Michoacán de Ocampo",669,921,434,101,562,5795,52,42,2924
"Morelos",1742,1143,890,144,144,6302,28,0,4161
"México",17606,7268,17619,15373,3828,37789,152,8,22563
"Nayarit",238,266,2,1,0,483,9,3,332
"Nuevo León",1191,1774,1367,181,141,1893,85,58,3044
"Oaxaca",886,725,654,17,112,2355,53,6,2065
"Puebla",3428,2166,4724,3224,2204,12288,63,400,3847
"Querétaro",2628,1973,1394,551,0,4818,129,4,10158
"Quintana Roo",2170,1168,1448,111,9,3164,17,47,4452
"San Luis Potosí",1195,837,954,28,437,3309,160,51,6778
"Sinaloa",2059,576,21,25,2,3784,16,2,2656
"Sonora",670,543,361,11,3,2600,53,37,2119
"Tabasco",1640,844,832,0,3,2637,223,0,3615
"Tamaulipas",1652,1135,132,0,2,2427,37,3,4001
"Tlaxcala",172,316,138,22,102,1756,19,21,136
"Veracruz de Ignacio de la Llave",3901,2284,2037,200,91,4374,261,62,3003
"Yucatán",106,74,43,2,0,118,0,1,166
"Zacatecas",363,393,51,14,9,1520,72,16,3063
