"ent","Sector","Jornada","Salario_trim","Salario_trim_cv"
"01","Primario","Menos de 15",95.2396694214876,0.998225921028547
"01","Primario","De 15 a 48",4036.89626173607,0.123992611487229
"01","Primario","Más de 48",5651.16361788618,0.305096830746196
"01","Secundario","Menos de 15",5894.65256797583,0.567124963017325
"01","Secundario","De 15 a 48",5143.80047383917,0.0522956010438047
"01","Secundario","Más de 48",6529.16188694025,0.0878984778493185
"01","Terciario","Menos de 15",2371.65577105014,0.147164634691438
"01","Terciario","De 15 a 48",5268.1857681311,0.051029410229566
"01","Terciario","Más de 48",5637.80763793481,0.0765779780038241
"02","Primario","Menos de 15",2723.30434782609,0.434445056005859
"02","Primario","De 15 a 48",8138.88038543969,0.0645163731639321
"02","Primario","Más de 48",10641.8796966219,0.0731622497108838
"02","Secundario","Menos de 15",5116.42406311637,0.353437690039909
"02","Secundario","De 15 a 48",8397.84973858112,0.034839634913526
"02","Secundario","Más de 48",8368.87581517154,0.0769474809430942
"02","Terciario","Menos de 15",3859.96978898119,0.112606658584052
"02","Terciario","De 15 a 48",6377.39095759834,0.0395618536396127
"02","Terciario","Más de 48",8406.65065303853,0.0576866042193246
"03","Primario","Menos de 15",3240.88585858586,0.242637784509396
"03","Primario","De 15 a 48",8904.46440108541,0.102497933700973
"03","Primario","Más de 48",10715.2620481928,0.0780851719173287
"03","Secundario","Menos de 15",5041.7797731569,0.26519087029884
"03","Secundario","De 15 a 48",13826.548340081,0.0460944198909765
"03","Secundario","Más de 48",14920.0562262048,0.077358557163817
"03","Terciario","Menos de 15",6734.89273526958,0.197529236501501
"03","Terciario","De 15 a 48",12246.3161621765,0.0538502335319615
"03","Terciario","Más de 48",14759.4521302275,0.0640441275769873
"04","Primario","Menos de 15",1783.14734923287,0.162210849598614
"04","Primario","De 15 a 48",4621.33283254591,0.0815257370536963
"04","Primario","Más de 48",7436.983387471,0.0796251601558342
"04","Secundario","Menos de 15",2573.063675609,0.155537120620713
"04","Secundario","De 15 a 48",9647.97068736352,0.0414280952514597
"04","Secundario","Más de 48",13432.8327646171,0.0449052394106213
"04","Terciario","Menos de 15",3139.02140920455,0.0760401888194215
"04","Terciario","De 15 a 48",8446.29715117363,0.0253847061509267
"04","Terciario","Más de 48",8781.86004695726,0.0286215960580788
"05","Primario","Menos de 15",2634.95186862967,0.341837603393987
"05","Primario","De 15 a 48",7408.12183915756,0.180365979125368
"05","Primario","Más de 48",8346.08657219026,0.114883183228746
"05","Secundario","Menos de 15",5066.47843715444,0.172544167140693
"05","Secundario","De 15 a 48",10594.8435945108,0.0216453549452777
"05","Secundario","Más de 48",11358.7030461768,0.0418107059648749
"05","Terciario","Menos de 15",3909.65324585354,0.0941089074764162
"05","Terciario","De 15 a 48",9147.96548581503,0.0251762785178101
"05","Terciario","Más de 48",9780.49018065779,0.0392737679864411
"06","Primario","Menos de 15",3387.73488372093,0.157888169246096
"06","Primario","De 15 a 48",6644.54155575274,0.0989018909965935
"06","Primario","Más de 48",9569.16555793991,0.116125314662796
"06","Secundario","Menos de 15",1710.99793174767,0.182887286638024
"06","Secundario","De 15 a 48",7868.11548283894,0.0487731927262696
"06","Secundario","Más de 48",9775.3175106082,0.05862915954416
"06","Terciario","Menos de 15",3374.81957267212,0.131984153019798
"06","Terciario","De 15 a 48",7864.86607659442,0.0454069242873749
"06","Terciario","Más de 48",9089.98357093538,0.0511526178148542
"07","Primario","Menos de 15",769.324077029471,0.251231240641194
"07","Primario","De 15 a 48",2047.02618684634,0.126758051795829
"07","Primario","Más de 48",4847.24273681782,0.170158358220213
"07","Secundario","Menos de 15",2639.75323367671,0.190037566949083
"07","Secundario","De 15 a 48",6048.28396281413,0.067271526880053
"07","Secundario","Más de 48",8373.5387146538,0.0422708065238372
"07","Terciario","Menos de 15",2754.19487043892,0.0967448932294631
"07","Terciario","De 15 a 48",6610.47328306835,0.0392043743258426
"07","Terciario","Más de 48",6748.04944522719,0.0381090295416418
"08","Primario","Menos de 15",2649.59248184537,0.291590173607577
"08","Primario","De 15 a 48",4403.32322777139,0.245179873881615
"08","Primario","Más de 48",5262.73614647094,0.166305088167719
"08","Secundario","Menos de 15",3391.52805075258,0.161260019054109
"08","Secundario","De 15 a 48",8848.57780414989,0.0272187070500922
"08","Secundario","Más de 48",9086.40345429126,0.0891761404068332
"08","Terciario","Menos de 15",4278.19497776428,0.0921499026278241
"08","Terciario","De 15 a 48",8227.69417959621,0.0332805525887638
"08","Terciario","Más de 48",8537.66808293957,0.0514649706306637
"09","Primario","Menos de 15",1165.38882803943,1.05104842421792
"09","Primario","De 15 a 48",4930.86909504838,0.3698866757114
"09","Primario","Más de 48",1759.96585088219,0.728778520294156
"09","Secundario","Menos de 15",1089.15242833259,0.499023314199003
"09","Secundario","De 15 a 48",5877.93377661984,0.138853762358331
"09","Secundario","Más de 48",8349.52421719799,0.264389260688752
"09","Terciario","Menos de 15",3485.77446318883,0.194290632461458
"09","Terciario","De 15 a 48",6089.1773940201,0.0578505810448419
"09","Terciario","Más de 48",7941.98438588403,0.160906983210444
"10","Primario","Menos de 15",3893.7465204883,0.118401059764221
"10","Primario","De 15 a 48",5411.69277090475,0.0831572344608296
"10","Primario","Más de 48",7119.31128287492,0.103452585721419
"10","Secundario","Menos de 15",2681.49855364105,0.188340415381217
"10","Secundario","De 15 a 48",8129.02828259665,0.0241304802852208
"10","Secundario","Más de 48",10077.7137346506,0.0826910196891101
"10","Terciario","Menos de 15",2525.79087853586,0.0642914875201173
"10","Terciario","De 15 a 48",7640.13169919918,0.02292429241983
"10","Terciario","Más de 48",8750.02104395808,0.0517817961335637
"11","Primario","Menos de 15",1378.14361859639,0.249339331986707
"11","Primario","De 15 a 48",4121.48831316386,0.0930000028584387
"11","Primario","Más de 48",5076.55257482041,0.217826050862987
"11","Secundario","Menos de 15",2397.88515114186,0.200695279135559
"11","Secundario","De 15 a 48",5769.55035850712,0.0421571302115818
"11","Secundario","Más de 48",5832.47873935422,0.0458935277690099
"11","Terciario","Menos de 15",1807.11879234663,0.0979717602887231
"11","Terciario","De 15 a 48",4348.00680830527,0.0457856144947925
"11","Terciario","Más de 48",4837.66809718399,0.0751951848865849
"12","Primario","Menos de 15",1413.5976695409,0.288846828088675
"12","Primario","De 15 a 48",1842.14047858136,0.187201919767508
"12","Primario","Más de 48",2515.24140876206,0.229751985464966
"12","Secundario","Menos de 15",1629.7198640068,0.139017031847432
"12","Secundario","De 15 a 48",5789.21185711151,0.10784892238886
"12","Secundario","Más de 48",8137.15260784859,0.0575579232321175
"12","Terciario","Menos de 15",3491.70910371972,0.0871761932255054
"12","Terciario","De 15 a 48",6494.22214551621,0.0435545037438885
"12","Terciario","Más de 48",7069.83448031999,0.059101497420857
"13","Primario","Menos de 15",1136.19919893191,0.27314662236905
"13","Primario","De 15 a 48",2551.9406887852,0.130832316984347
"13","Primario","Más de 48",5027.46532702916,0.137518873161007
"13","Secundario","Menos de 15",1886.13259304956,0.167399941759928
"13","Secundario","De 15 a 48",6495.2836778672,0.0631051747364468
"13","Secundario","Más de 48",8011.24419997303,0.0729124341849525
"13","Terciario","Menos de 15",2599.0450373417,0.113052394211991
"13","Terciario","De 15 a 48",5376.15561059373,0.0628153559589602
"13","Terciario","Más de 48",5721.23565188452,0.0854561800347514
"14","Primario","Menos de 15",3818.87545980032,0.677271210209753
"14","Primario","De 15 a 48",7070.95068325676,0.0580978626977117
"14","Primario","Más de 48",7760.77731394513,0.119266432564496
"14","Secundario","Menos de 15",1151.6232956435,0.300882910414315
"14","Secundario","De 15 a 48",6258.6354939732,0.0413059917797353
"14","Secundario","Más de 48",8614.64383748347,0.0701348427048248
"14","Terciario","Menos de 15",3253.63564514153,0.169246006913877
"14","Terciario","De 15 a 48",5211.10178888059,0.044145464892951
"14","Terciario","Más de 48",6131.05657654111,0.0608549867625624
"15","Primario","Menos de 15",326.961431294911,0.532358393382572
"15","Primario","De 15 a 48",3015.04524227713,0.122418945328157
"15","Primario","Más de 48",2033.4813665177,0.34440170681041
"15","Secundario","Menos de 15",9451.64338777362,0.697879675416675
"15","Secundario","De 15 a 48",4471.61798733346,0.0783466181635576
"15","Secundario","Más de 48",4779.74805083976,0.0843004701429594
"15","Terciario","Menos de 15",1732.93138374197,0.207448441233851
"15","Terciario","De 15 a 48",2781.20082928094,0.070618022325461
"15","Terciario","Más de 48",3960.17822179311,0.0772327966956281
"16","Primario","Menos de 15",2146.73818838399,0.281361462267834
"16","Primario","De 15 a 48",6217.49515707559,0.0640915367052893
"16","Primario","Más de 48",6331.23298223286,0.185007679113987
"16","Secundario","Menos de 15",2439.90837884881,0.142168441274753
"16","Secundario","De 15 a 48",7185.78503814152,0.0524341847853563
