"ent","rama","Salario_trim","Salario_trim_cv"
"01","Primario",4414.74343665981,0.157109642030598
"01","Secundario",5743.9777383372,0.0530455831961445
"01","Terciario",5199.54906270262,0.0431767940504847
"01","No especificado",2973.19872110182,0.318896998760465
"02","Primario",8673.72443573104,0.0504712855549502
"02","Secundario",8383.54560260886,0.0342115460100658
"02","Terciario",6663.20634750385,0.0340335837554811
"02","No especificado",611.429651932336,0.25613375924172
"03","Primario",9051.39298187261,0.0697448201242012
"03","Secundario",13467.483469315,0.0430066000003958
"03","Terciario",12263.5803519794,0.0401136896505044
"03","No especificado",3332.09433962264,0.705512578559706
"04","Primario",4934.24551267347,0.0678336487705643
"04","Secundario",10740.1761885737,0.0331624073440166
"04","Terciario",8073.69676563985,0.0207229894148946
"04","No especificado",3697.8188976378,0.191854831739144
"05","Primario",7345.94471724023,0.113561550990346
"05","Secundario",10604.1122528018,0.0187944689940335
"05","Terciario",8894.26459009957,0.0236139695553688
"05","No especificado",809.231191652938,0.673917394816598
"06","Primario",7166.33880298142,0.0849852036603713
"06","Secundario",8126.48664095855,0.0391809134983364
"06","Terciario",7841.02517359122,0.0343004495407865
"06","No especificado",5782.23404255319,0.121736814593781
"07","Primario",2189.20603522788,0.118435943704298
"07","Secundario",6734.94392940333,0.0495271707814301
"07","Terciario",6483.91577020699,0.0340303312201427
"07","No especificado",6289.10907859079,0.085349450875758
"08","Primario",4500.08394714407,0.152173439451568
"08","Secundario",8747.33188855364,0.0268831787292667
"08","Terciario",8017.01495061434,0.0293507530390392
"08","No especificado",3236.23954028926,0.176017969672772
"09","Primario",4240.00554138878,0.341883517366647
"09","Secundario",6344.85556404171,0.124336769924516
"09","Terciario",6473.99588870021,0.0656339092009559
"09","No especificado",5350.10500461559,0.22974538391863
"10","Primario",5568.12587191182,0.0726421769825798
"10","Secundario",8474.13808286415,0.0277962374017763
"10","Terciario",7499.17781808748,0.0214334496267402
"10","No especificado",3666.02907421576,0.704566296670751
"11","Primario",4142.08514907569,0.0943248180465875
"11","Secundario",5726.92201829117,0.0327276449107861
"11","Terciario",4265.9934166462,0.0377917077292633
"11","No especificado",3155.09584086799,0.197922521305633
"12","Primario",1971.45969075826,0.178543952983114
"12","Secundario",6272.71811374613,0.0727950701182866
"12","Terciario",6416.33095340433,0.0374198724732399
